tile_id,split,set_type,has_s1_hand,has_s2_hand,has_s1_weak,has_s2_weak,has_label_hand,has_s2_index_label_weak,has_pre_s1,has_pre_s2,has_aux,all_modalities_present,s1_hand_path,s2_hand_path,s1_weak_path,s2_weak_path,label_hand_path,s2_weak_label_path,pre_s1_path,pre_s2_path,aux_path,label_flood_pct,label_novalid_pct,label_quality,image_height,image_width,shape_consistent
Bolivia_1009032,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1009032_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1009032_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1009032_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1009032_pre_s1.tif,data/pre_s2/Bolivia_1009032_pre_s2.tif,data/aux/Bolivia_1009032_aux.tif,19.63462829589844,4.3827056884765625,good,512,512,False
Bolivia_1027817,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1027817_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1027817_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1027817_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1027817_pre_s1.tif,data/pre_s2/Bolivia_1027817_pre_s2.tif,data/aux/Bolivia_1027817_aux.tif,56.87522888183594,4.970550537109375,good,512,512,False
Bolivia_103757,train,hand,True,True,False,False,True,False,True,True,True,True,data/sen1floods11/S1Hand/Bolivia_103757_S1Hand.tif,data/sen1floods11/S2Hand/Bolivia_103757_S2Hand.tif,,,data/sen1floods11/LabelHand/Bolivia_103757_LabelHand.tif,,data/pre_s1/Bolivia_103757_pre_s1.tif,data/pre_s2/Bolivia_103757_pre_s2.tif,data/aux/Bolivia_103757_aux.tif,13.489532470703123,66.40129089355469,good,512,512,False
Bolivia_1037580,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1037580_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1037580_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1037580_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1037580_pre_s1.tif,data/pre_s2/Bolivia_1037580_pre_s2.tif,data/aux/Bolivia_1037580_aux.tif,6.121063232421875,0.582122802734375,good,512,512,False
Bolivia_1041766,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1041766_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1041766_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1041766_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1041766_pre_s1.tif,data/pre_s2/Bolivia_1041766_pre_s2.tif,data/aux/Bolivia_1041766_aux.tif,11.888504028320312,30.41534423828125,good,512,512,False
Bolivia_1068962,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1068962_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1068962_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1068962_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1068962_pre_s1.tif,data/pre_s2/Bolivia_1068962_pre_s2.tif,data/aux/Bolivia_1068962_aux.tif,3.516387939453125,0.0675201416015625,imbalanced,512,512,False
Bolivia_1114396,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1114396_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1114396_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1114396_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1114396_pre_s1.tif,data/pre_s2/Bolivia_1114396_pre_s2.tif,data/aux/Bolivia_1114396_aux.tif,1.6963958740234375,68.41888427734375,imbalanced,512,512,False
Bolivia_1159714,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1159714_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1159714_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1159714_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1159714_pre_s1.tif,data/pre_s2/Bolivia_1159714_pre_s2.tif,data/aux/Bolivia_1159714_aux.tif,3.520965576171875,1.0791778564453125,imbalanced,512,512,False
Bolivia_1163442,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1163442_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1163442_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1163442_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1163442_pre_s1.tif,data/pre_s2/Bolivia_1163442_pre_s2.tif,data/aux/Bolivia_1163442_aux.tif,19.23789978027344,8.768463134765625,good,512,512,False
Bolivia_1177945,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1177945_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1177945_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1177945_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1177945_pre_s1.tif,data/pre_s2/Bolivia_1177945_pre_s2.tif,data/aux/Bolivia_1177945_aux.tif,1.3214111328125,72.67417907714844,imbalanced,512,512,False
Bolivia_1244187,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1244187_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1244187_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1244187_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1244187_pre_s1.tif,data/pre_s2/Bolivia_1244187_pre_s2.tif,data/aux/Bolivia_1244187_aux.tif,0.408935546875,10.198211669921877,imbalanced,512,512,False
Bolivia_1264498,train,weak,False,False,True,True,False,True,True,True,True,True,,,data/sen1floods11/S1Weak/Bolivia_1264498_S1Weak.tif,data/sen1floods11/S2Weak/Bolivia_1264498_S2Weak.tif,,data/sen1floods11/S2IndexLabelWeak/Bolivia_1264498_S2IndexLabelWeak.tif,data/pre_s1/Bolivia_1264498_pre_s1.tif,data/pre_s2/Bolivia_1264498_pre_s2.tif,data/aux/Bolivia_1264498_aux.tif,0.6877899169921875,35.63041687011719,imbalanced,512,512,False
